Protocolo_S2iD,Nome_Municipio,Sigla_UF,regiao,Data_Registro,Data_Evento,Cod_Cobrade,tipologia,descricao_tipologia,grupo_de_desastre,Cod_IBGE_Mun,Setores Censitários,Status,DH_Descricao,DH_MORTOS,DH_FERIDOS,DH_ENFERMOS,DH_DESABRIGADOS,DH_DESALOJADOS,DH_DESAPARECIDOS,DH_AFETADOS_SECA_ESTIAGEM,DH_total_danos_humanos_diretos,DH_OUTROS AFETADOS,DM_Descricao,DM_Uni Habita Danificadas,DM_Uni Habita Destruidas,DM_Uni Habita Valor,DM_Inst Saúde Danificadas,DM_Inst Saúde Destruidas,DM_Inst Saúde Valor,DM_Inst Ensino Danificadas,DM_Inst Ensino Destruidas,DM_Inst Ensino Valor,DM_Inst Serviços Danificadas,DM_Inst Serviços Destruidas,DM_Inst Serviços Valor,DM_Inst Comuni Danificadas,DM_Inst Comuni Destruidas,DM_Inst Comuni Valor,DM_Obras de Infra Danificadas,DM_Obras de Infra Destruidas,DM_Obras de Infra Valor,DM_total_danos_materiais,DA_Descricao,DA_Polui/cont da água,DA_Polui/cont do ar,DA_Polui/cont do solo,DA_Dimi/exauri hídrico,DA_Incêndi parques/APA's/APP's,PEPL_Descricao,PEPL_Assis_méd e emergên(R$),PEPL_Abast de água pot(R$),PEPL_sist de esgotos sanit(R$),PEPL_Sis limp e rec lixo (R$),PEPL_Sis cont pragas (R$),PEPL_distrib energia (R$),PEPL_Telecomunicações (R$),PEPL_Tran loc/reg/l_curso (R$),PEPL_Distrib combustíveis(R$),PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPL_total_publico,PEPR_Descricao,PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),PEPR_total_privado,PE_PLePR
MS-F-5003207-14132-20210708,Corumbá,MS,Centro-oeste,08/07/2021,08/07/2021,14132,"6,00",Incêndio Florestal,Climatológico,5003207,"500320730000001, 500320730000009, 500320725000001, 500320725000006, 500320725000004, 500320725000005, 500320735000002, 500320710000002, 500320705000098",Reconhecido,"Como consequência desse evento adverso, que vem avançando gradualmente, o que se constata é a procura crescente de pessoas, em busca de assistência nas instituições de pronto atendimento à saúde do município, com histórico de agravamento do sistema respiratório, justamente no momento em que o município vivencia uma grave crise epidemiológica, com a presença da COVID-19, que vem vitimizando inúmeras pessoas, inclusive muitas sendo levadas à óbito.
Por outro lado, o registro estimativo de pessoas afetadas, no campo ""Outros Afetados"" pretende demonstrar que de algum modo essas pessoas sofreram ou ainda sofrem os revezes negativos provocados pelos incêndios florestais, seja na área urbana ou na área rural, em razão da densa e continuada cobertura de fumaça que surge e às vezes persiste na região, cujas pessoas mesmo ainda não tendo procurado socorro médico, por certo esse transtorno interfere na sua rotina diária, seja em casa, no trabalho, ou por onde se movimenta, dado o transtorno e a degradação do ar causada por esses poluentes.
",0,0,0,0,0,0,0,0,11000,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00","O município de Corumbá-MS está inserido dentro do maior santuário ecológico do planeta, que é o  pantanal, considerado em 2001 pela Unesco  como Patrimônio Natural e Reserva da Biosfera Mundial.
Esse evento adverso, na lógica da obviedade, na proporção que se apresenta e que vem avançando gradualmente, seguramente trouxe e vem trazendo danos ambientais imensuráveis, como por exemplo, a própria deterioração ambiental, pela supressão de enorme quantidade de materiais lenhosos e vegetais, a destruição da paisagem, a relação com o efeito estufa, a poluição do ar com consequente atmosfera irrespirável, a poluição do solo e habitat dos animais silvestres que fugiram do fogo, fora os que perderam as suas vidas, a destruição da cobertura vegetal, a morte de microorganismos, a debilitação de árvores jovens susceptíveis a pragas e doenças, a perda de nutrientes do solo, ressecamento do solo, a aceleração do processo de erosão, etc, ou seja, esses sinistros deixam um rastro de destruição que salta à vista e causam questionamentos por parte da população.

",,,,,,"Em princípio, cumpre registrar que o setor público de saúde do município, acaba tendo um dispêndio extra, por conta do aumento da média das pessoas que buscam socorro nas instituições de pronto atendimento à saúde, em face de serem vitimas dos efeitos nocivos dos incêndios florestais. Havendo neste caso, a imperiosa necessidade de recomposição de sua logística, até mesmo para manter e continuar suprindo a demanda crescente de eventuais necessitados.

","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Foram consumidos 12.600 ha de pastagens com prejuízos conforme consta Quadro 2 do Relatório Técnico queimadas 2021/SEMAGRO;,"0,00","1476963,61","0,00","0,00","0,00","1476963,61","1476963,61"
PR-F-4103503-12200-20160111,Califórnia,PR,Sul,19/01/2016,11/01/2016,12200,"2,00",Enxurradas,Hidrológico,4103503,"410350305000008, 410350305000009, 410350305000013, 410350305000010, 410350305000011, 410350305000012, 410350305000005, 410350305000004, 410350305000001, 410350305000015",Reconhecido,"13 pessoas desalojadas, 5 na zona urbana e 8 na zona rural, ambas foram afetadas pelas enxurradas e suas casas foram totalmente comprometidas, as pessoas encontram-se em casa de seus familiares não podendo voltar para suas casas ate  momento.
130 pessoas afetadas na zona rural encontram-se sem acesso aos serviços básicos necessários pois as estradas e pontes foram destruídas com as enxurradas impedindo a passagem.",0,0,0,0,13,0,0,13,130,"centro de saúde municipal danos na estrutura do forro de gesso
03 unidades habitacionais danos de grande proporção ( alagadas, deslizamento de terra, quedas de parede), 20 casas apresentando rachaduras estruturais e queda do muro,
obras de infra- estrutura publica 100 metros de pavimentação asfáltica totalmente destruídas por deslizamento, 150 km de estradas rurais danificadas por erosão, buracos, 25 bueiros totalmente destruídos e 15 danificados pela enxurradas, 12 pontes totalmente destruídas pelas enxurradas.
",23,0,"270985,21",1,0,"14452,54",0,0,"0,00",0,0,"0,00",0,0,"0,00",45,15,"3071165,73","3356603,49",contaminação das nascentes com resíduos de agrotóxico das plantações ao entorno.,,,,,,"100 metros de pavimentação asfáltica totalmente destruída por deslizamento, 150 km de estradas rurais danificadas por erosão, buracos, 25 bueiros totalmente destruídos e 15 danificados pela enxurrada, 12 pontes totalmente destruídas pelas enxurradas.
o nível da chuva atingiu níveis de calamidade formando uma tromba d`agua que destruiu 12 pontes totalizando 90% das pontes destruídas dom município, deixando famílias isoladas, afetou também as estradas rurais dificultando o acesso da população para a zona rural em busca de serviços básicos, dificuldade para o escoamento da safra agrícola, pecuária, produção de leite entre outros, destruiu totalmente bueiros rurais e grande parte dos bueiros da zona urbana terão que passar por reparos dificultando assim o escoamento da água. ","0,00","0,00","361313,62","90328,40","0,00","0,00","0,00","2709852,11","0,00","0,00","0,00","3161494,13","erosão ocasionada devido ao grande volume de chuva destruindo as plantações de soja, milho, hortaliças, granjas inundadas causando a morte das aves, pontes e estradas destruídas impedindo a passagem de caminhões para transporte do leite até os laticínios.","5419704,23","903284,04","0,00","0,00","0,00","6322988,27","9484482,40"
SP-F-3548906-14132-20240912,São Carlos,SP,Sudeste,13/09/2024,12/09/2024,14132,"6,00",Incêndio Florestal,Climatológico,3548906,354890605000170,Registro,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00","Poluição do ar pelos efeitos dos incendios, e areas de Proteção afetadas.",,DE 0% A 5% DA POPULAÇÃO AFETADA,,,MAIS DE 40% DE ÁREA AFETADA,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Sem valores descritos.,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
SC-A-4205506-12100-20000910,Fraiburgo,SC,Sul,10/09/2000,10/09/2000,12100,"7,00",Inundações,Hidrológico,4205506,,Registro,,0,0,0,12,800,0,0,812,1000,,175,2,"472026,82",0,0,"0,00",2,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"146176,05","618202,87",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
RN-F-2404705-13214-20220525,Ipanguaçu,RN,Nordeste,25/05/2022,25/05/2022,13214,"13,00",Chuvas Intensas,Hidrológico,2404705,"240470505000013, 240470505000007, 240470505000010, 240470505000009, 240470505000008",Registro,"COM O AUMENTO DA SANGRIA DO AÇUDE PÚBLICO DE PATAXÓ, QUE ELEVOU A SUA LÂMINA D¿ÁGUA PARA 28CM NA MANHÃ DO DIA 25 DE MAIO DE 2022, FAZENDO COM QUE, AS PASSAGENS MOLHADAS QUE DÃO ACESSO AS COMUNIDADES RURAIS, FOSSEM INTERROMPIDAS O FLUXO DE PESSOAS, DEIXANDO ASSIM, PREJUDICADO CERCA DE 4.000 PESSOAS QUE RESIDEM NESSAS COMUNIDADES.",0,0,0,0,0,0,0,0,4000,"EM VIRTUDE DO AUMENTO DA SANGRIA DO AÇUDE PÚBLICO DE PATAXÓ NA MANHÃ DESSE DIA 25 DE MAIO DE 2022, ÀS 10H, O MESMO SANGRAVA COM UMA LÂMINA D¿ÁGUA DE 28CM, FAZENDO COM QUE AS ÁGUAS DESTRUÍSSE PARTE DAS PASSAGENS MOLHADAS QUE DÃO ACESSO AS COMUNIDADES RURAIS, IMPEDINDO ASSIM, A PASSAGEM DE PEDESTRES QUE CIRCULAM DIARIAMENTE PARA A SEDE DO MUNICÍPIO DE IPANGUAÇU/RN.",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"51669,92","51669,92",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
SC-P-4209177-13215-20090908,Jupiá,SC,Sul,08/09/2009,08/09/2009,13215,"12,00",Vendavais e Ciclones,Meteorológico,4209177,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
SC-P-4214607-12200-20090928,Rio do Oeste,SC,Sul,28/09/2009,28/09/2009,12200,"2,00",Enxurradas,Hidrológico,4214607,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
MA-A-2109809-12100-20090427,Santa Helena,MA,Nordeste,27/04/2009,27/04/2009,12100,"7,00",Inundações,Hidrológico,2109809,,Reconhecido,,0,120,419,1907,1663,0,0,4109,6982,,684,46,"9382410,12",0,0,"0,00",3,0,"138081,22",0,0,"0,00",0,0,"0,00",35,7,"11086248,78","20606740,12",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","145004,49","145004,49",,"8358960,04","649999,66","0,00","0,00","0,00","9008959,70","9153964,18"
PE-F-2609402-13214-20220529,Moreno,PE,Nordeste,29/05/2022,29/05/2022,13214,"13,00",Chuvas Intensas,Hidrológico,2609402,"260940205000058, 260940205000016, 260940205000008, 260940205000006, 260940205000002, 260940205000009, 260940205000033, 260940205000019, 260940205000031, 260940205000010, 260940205000003, 260940205000050, 260940205000054, 260940205000012, 260940205000013, 260940205000025, 260940205000026, 260940205000056, 260940205000027, 260940205000051, 260940205000052, 260940205000057, 260940205000035, 260940205000030, 260940205000024, 260940205000060, 260940205000034, 260940205000022, 260940205000053, 260940205000059, 260940205000032, 260940205000005, 260940210000001, 260940205000047, 260940210000002, 260940210000009, 260940210000004, 260940210000012, 260940210000007, 260940210000013, 260940210000005, 260940210000006",Reconhecido,"A situação ocasionada pelas fortes chuvas tornou imprescindível a implementação de várias equipes para a garantia do apoio, acolhimento, orientação, alimentação, transporte de bens e alojamento. Situações que foram intensificadas ao longo do dia e que aumentaram o grau de dificuldade dos moradores, que pela falta de energia elétrica e internet, foram diretamente auxiliados pelas equipes instituídas, tendo como única forma de monitoramento e condução In loco. Salienta-se oportunamente, que quaisquer monitoramento seguiu-se de forma intersetorial com a Coordenação da Defesa Civil Municipal, assegurando contingente humano para quaisquer desdobramentos e articulação para a necessidade de novas instalações de abrigamento e equipes para deslocamento. Os desabrigados são residentes exclusivamente do Alto da Bela Vista e os desalojados oriundos dos bairros CSU; João Paulo II (Rua da barreira e Jardim do Édem); Galinha D'água; Comunidade Beira Rio; Alto de Santo Antônio; Loteamento Nossa Senhora da Conceição e Cambonge.",0,0,0,7,295,0,0,302,0,"O desastre ocorrido pelas inundações do último dia 28/05/2022 atingiu diretamente várias famílias, embora tenha em sua maioria atingido aos menos favorecidos da nossa cidade, o ocorrido não limitou sua ação aos mesmos, afetando diretamente alguns imóveis mais estruturados, totalizando 169 unidades habitacionais nos bairros do CSU, Galinha D'água, Centro, Nossa Senhora da Conceição, Nossa Senhora das Graças (INABI), Olaria, Nossa Senhora de Fátima, Comunidade Beira Rio, Cambonge, João Paulo II, Tamboatá, Loteamento Bonança I e Cidade de Deus que tiveram sua estrutura comprometida pelas fortes precipitações e deslizamentos de encostas e 02 unidades totalmente destruídas por mais de um deslizamento. Ainda por ocasião do desastre, a UBS do Loteamento Nossa Senhora das Graças; PNI (Centro Municipal de Vacinação), no Centro; USF-Liberdade, no Alto da Liberdade; USF- Heráclito Montenegro, no João Paulo II; USF-Conceição, no Loteamento Nossa Senhora da Conceição; USF-Massaranduba, Povoado de Massaranduba; USF- Maternidade, no Alto da Maternidade; USF-João Paulo, no João Paulo II; USF-Bonança 2, Distrito de Bonança; USF-Santo Antônio, Alto de Santo Antônio; USF-Pedreira/Mangueira, nas Pedreiras; USF-Enfermeiro Braz, Distrito de Bonança, USF-Bela Vista, Alto da Bela Vista; USF-Caraúna, Engenho Caraúna; USF-ABC, no bairro do ABC; CEO, no Centro; Centros da Saúde da Mulher e do Homem, no Centro; CTA, na Liberdade; CAF, na Liberdade e Policlínica Beiró Uchôa, no bairro Nossa Senhora de Fátima, tiveram sua estrutura comprometida por ocasião das fortes precipitações no dia do ocorrido. Unidades de ensino também sofreram avarias diversas em sua estrutura, tais como: Colégio Municipal Baltazar Moreno; Escolas Municipais: Auta de França (em reforma), no Loteamento Nossa Senhora da Conceição; Gerson Carneiro, no Distrito de Bonança; Noemi Guerra, no bairro da Liberdade; Josefa Alves, no João Paulo II; Argemiro Nepomuceno, nas Pedreiras; Áurea da Cunha, no Alto de Santo Antônio e Padre Edmundo Kleipool, no povoado de Massaranduba. Ainda foram danificadas as estruturas dos prédios das Secretarias de Assistência Social e de Agricultura, localizadas no Centro da Cidade. Derivando ainda do processo do excesso de precipitações ocorridas na data, várias obras de Infraestrutura Públicas foram diretamente atingidas, sofrendo comprometimento estrutural. As tipificações principais das referidas obras, foram Pavimentações e Pontes de Acesso. Citando as Pavimentações: Via de acesso ao Residencial Miguel Arraes de Alencar; Ruas José Amaro da Paz; 15 de novembro; Progresso; Capitão Calixto; Jardim e Jornalista Antônio Maranhão (em obras). Citando as Pontes de acesso: Ponte do Loteamento Nossa Senhora das Graças; Ponte de Ligação entre os bairros Beira Rio e Alto de Santo Antônio (Xingú); Ponte de Ligação dos bairros Nossa Senhora de Fátima e Tamboatá; Ponte de Acesso ao Distrito Industrial no município; Ponte de acesso ao Loteamento Bonança I e Ponte de acesso ao Loteamento Bonança II.",169,2,"883555,72",22,0,"227347,67",8,0,"168443,96",2,0,"31001,95",0,0,"0,00",16,0,"3669365,56","4979714,86","Após a elevação e carreamento das águas do Rio Jaboatão, verificou-se que a água turbidez, cor e outras características da conhecida tradicionalmente. Apresentando um cenário de aparente poluição pela presença significativa de solo. O ocorrido se deu principalmente nos bairros do Olaria; CSU; Galinha D'água e Loteamento Nossa Senhora da Conceição.",,,,,,"Redirecionamento de equipes de saúde pública e ambulâncias disponibilizadas para transporte e apoio especializado dos feridos pelas inundações nos bairros de veículos de Nossa Senhora da Conceição, Tamboatá, Nossa Senhora de Fátima e Galinha D'água. Redirecionamento das equipes de limpeza urbana e veículos destinados ao transporte de entulhos e podas necessárias durante o período das inundações, para contribuição no auxílio ao manuseio de mobiliários dos desalojados. dos desalojados. Redirecionamento dos transportes destinados ao controle e fiscalização dos serviços públicos contínuos, para auxílio no transporte dos moradores. Redirecionamento das equipes da Guarda Municipal para suporte e seguranças às equipes de apoio aos atingidos pelas inundações.","103339,85","0,00","0,00","51669,92","0,00","0,00","0,00","51669,92","0,00","15500,98","0,00","222180,68","As áreas de Zona Rural do município tiveram muitos sítios e chácaras diretamente afetadas pela elevação do rio, erradicando o plantio das famílias para comércio e subsistência, bem como, as vias de acesso desses engenhos, sítios e chácaras que foram totalmente danificadas pela excesso das chuvas e elevação do rio.","103339,85","0,00","0,00","0,00","0,00","103339,85","325520,53"
PR-A-4118501-13213-20030418,Pato Branco,PR,Sul,18/04/2003,18/04/2003,13213,"5,00",Granizo,Meteorológico,4118501,,Registro,,0,2,0,0,83,0,0,85,0,,17,0,"62989,57",0,0,"0,00",0,0,"0,00",0,0,"0,00",1,0,"2432,03",0,0,"0,00","65421,60",,,,,,,,"0,00","0,00","0,00","0,00","0,00","405338,26","0,00","0,00","0,00","0,00","0,00","405338,26",,"87634131,86","0,00","0,00","0,00","0,00","87634131,86","88039470,12"
BA-D-2913200-14110-20010222,Ibotirama,BA,Nordeste,22/02/2001,22/02/2001,14110,"4,00",Estiagem e Seca,Climatológico,2913200,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
MG-A-3122900-12100-20030120,Dona Eusébia,MG,Sudeste,20/01/2003,20/01/2003,12100,"7,00",Inundações,Hidrológico,3122900,,Reconhecido,,0,0,0,0,91,0,0,91,0,,20,0,"81067,65",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","81067,65",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","48640,59","0,00","0,00","0,00","48640,59",,"608007,39","0,00","0,00","0,00","0,00","608007,39","656647,98"
MT-A-5103304-11432-20061122,Comodoro,MT,Centro-oeste,22/11/2006,22/11/2006,11432,"3,00",Erosão,Outros,5103304,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,2,"885718,08","885718,08",,,,,,,,"0,00","34404,84","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","34404,84",,"0,00","0,00","0,00","0,00","0,00","0,00","34404,84"
SC-A-4202305-13213-20070403,Biguaçu,SC,Sul,03/04/2007,03/04/2007,13213,"5,00",Granizo,Meteorológico,4202305,,Registro,,0,0,0,0,50,0,0,50,2015,,400,0,"318881,20",2,0,"19132,87",3,0,"47832,18",0,0,"0,00",4,0,"31888,12",0,0,"0,00","417734,37",,,,,,,,"0,00","0,00","0,00","0,00","0,00","15944,06","0,00","0,00","0,00","0,00","0,00","15944,06",,"0,00","0,00","0,00","0,00","111608,42","111608,42","127552,48"
SC-F-4205605-13214-20180116,Galvão,SC,Sul,22/01/2018,16/01/2018,13214,"13,00",Chuvas Intensas,Hidrológico,4205605,"420560505000003, 420560505000001, 420560505000004, 420560505000002",Reconhecido,"As chuvas intensas  do dia 16/01/2018 afetou 04 residências no interior do município, porém somente uma família precisou  ser remanejada para outro local. Os problemas ocorridos com o evento foram a destruição total e parcial de estradas, bueiros,  pontes e plantações. Parte da população
ficou sem condições de tráfego, ficando ilhada. Devido aos danos ocorridos nas estradas do interior (conforme relatório de danos público), ocorreu o isolamento parcial, e temporário afetando de forma direta cerca de 1269 pessoas que tiveram dificuldades de escoamento da produção de grãos e de leite, nas Linhas São Miguel, Padilha, Novo São Paulo, Bom Retiro, Santa Terezinha,  Serra do Tigre, Nova, Divino, São Sebastião e Alto Rio Martins. Tal número de pessoas afetadas é identificado pelo número de pessoas que foram atingidas de forma direta nas comunidades. DESALOJADAS: Foram desalojadas de forma temporária devido ao efeitos da chuva em suas residências as seguintes famílias: Família 1 - LUIZ CEGATTO - CPF 928.579.739-340 - com 2 pessoas residentes que foram para a casa do seu vizinho Sr. Valmir Willer. Família 2 - GIOVANA WALENDORFF - CPF 062.953.929-46 - com 2 pessoas residentes que foram para a casa de seu vizinho Sr. João Valmir Maciel, o qual também teve a sua residencia afetada pelo desastre, contudo não sendo necessária sua saída  Família 3 - CECÍLIA ROSA WALENDORFF - CPF 041.876.739-46 - com 2 pessoas residentes que foram para a casa de seu vizinho Sr. João Valmir Maciel. DESABRIGADOS: Família de ROSA DO NASCIMENTO CPF 660.789.978-04, Residentes duas pessoas idosas sendo uma enferma incapaz, a qual encontra-se em vulnerabilidade social extrema conforme laudo sócio-econômico das secretarias assistência social e saúde do Município, que seguem anexo,   com a chuva, o Rio Martins saiu da sua calha normal, danificando e destruindo parcialmente a residência, a qual apresenta danos estruturais sem possibilidade de recuperação, estando esta interditada devido ao risco de colapso conforme laudo de engenharia da AMNOROESTE e ADR São Lourenço do Oeste, que seguem anexos. ",0,0,0,2,4,0,0,6,1263,"Devido a grande quantidade de chuva e o Rio Martins ter saído da sua calha normal, duas residências foram danificadas e uma parcialmente destruída e com a estrutura totalmente danificada, não possibilitando o retorno do casal a sua moradia, sendo um casal de idosos e um acamado, no dia do desastra foram encaminhados a um abrigo e posteriormente para casa de familiares. Referente  as estradas principais e secundárias totalizaram cerca 65 km danificados e 08 km destruídos, danos estes nas Linhas São Miguel, Padilha, Novo São Paulo, Bom Retiro, Santa Terezinha,  Nova, Divino, São Sebastião e Alto Rio Martins foram afetadas de forma considerável, sendo que todas as máquinas da Prefeitura foram destinadas para reabertura e liberação do tráfego destas. Algumas estradas ainda estão com o tráfego impedido para automóveis, pois vários bueiros e pontes foram destruídos. BUEIROS - Foram danificados bueiros nas comunidades de Linha Padilha, Novo São Paulo,  Alto Rio Martins, Linha Nova, Divino e Santa Terezinha PONTES - Foram danificados pontes nas comunidades de Linha Novo São Paulo (04),  Divino(01) e Santa Terezinha (02). Vale salientar que todas as pontes, bueiros e estradas citadas ainda não conseguiram ser totalmente recuperadas da ultima enxurrada do dia 04/11/2017, o que faz com que várias tiveram que ser interditadas, fazendo com que a Administração Municipal fique sem ter condições de dar uma resposta aos munícipes, devemos ainda lembrar que tal resposta deve ser imediata, uma fez que o recesso escolar termina em poucos dias.",2,1,"84695,23",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",10,5,"678853,89","763549,12","Com a grande quantidade chuva, várias residências ficaram sem o fornecimento de água potável. Apresentou danos em área de APP, especificamente na Pedreira Vilani, na comunidade de linha Novo São Paulo, o qual gerou destruição de mata ciliar as margens do córrego que corta a propriedade.",,,,,,"Devido a grande precipitação de água algumas empresas de transporte de de leite não conseguiram faze-lo, além das equipes da prefeitura terem que fazer a limpeza de três residências afetadas,  Com a grande quantidade de chuva, no interior, as estradas principais e secundárias
totalizaram cerca 65 km danificados e 05 km destruídos, danos estes nas Linhas São Miguel, Padilha, Novo São Paulo, Bom Retiro, Santa
Terezinha, Nova, Divino, São Sebastião e Alto Rio Martins foram afetadas de forma considerável, sendo que todas as máquinas da Prefeitura foram destinadas para reabertura e liberação do tráfego destas. Algumas estradas ainda estão
com o tráfego impedido para automóveis, pois vários bueiros e pontes foram destruídos. BUEIROS - Foram danificados bueiros nas
comunidades de Linha Padilha, Novo São Paulo, Santin, Saudadinha, Alto Rio Martins, Linha Nova, Divino e Santa Terezinha, conforme
relatório em anexo. PONTES - Foram danificados pontes nas comunidades de Linha Novo São Paulo (04),  Divino
(01) e Santa Terezinha (02), Alto rio Martins (02) conforme relatório em anexo.","0,00","0,00","0,00","846,95","0,00","0,00","0,00","678853,89","0,00","0,00","0,00","679700,84","Agricultura - A enxurrada proporcionou vários prejuízos na agricultura e pecuária, fazendo com que muitas lavouras de soja, milho e feijão
tivessem que ser replantadas e a ausência de captação da produção leiteira devido a falta de energia elétrica, causando prejuízo de dois
dias da produção de leite aos produtores. Levantamento realizado pelo Técnico Agrícola do município de Galvão Sr. Rodrigo Bertolin,
conforme relatório em anexo. ","169390,46","84695,23","0,00","0,00","0,00","254085,69","933786,53"
MG-F-3127073-14120-20150804,Fruta de Leite,MG,Sudeste,05/08/2015,05/08/2015,14120,"4,00",Estiagem e Seca,Climatológico,3127073,,Reconhecido,Pessoas afetadas por falta de água no Municipio,0,0,0,0,0,0,3499,3499,3499,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",Exaurimento hidrico afetando mais de 50% da populaçãop do municipio,,,,,,,"0,00","135542,85","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","135542,85","Perda das lavouras de milho,mandioca, cana de açucar, feijão, Leite, morte de bovinos, equinos comprometendo o rebanho, etc","2749583,60","553208,47","0,00","0,00","0,00","3302792,07","3438334,92"
RS-F-4311122-14110-20230324,Jaquirana,RS,Sul,24/03/2023,24/03/2023,14110,"4,00",Estiagem e Seca,Climatológico,4311122,"431112205000002, 431112210000003, 431112205000003, 431112210000001, 431112210000004, 431112210000002, 431112205000007, 431112205000001, 431112205000008, 431112205000006, 431112205000004, 431112205000011, 431112205000010, 431112205000005, 431112205000009",Reconhecido,"A falta de chuva prolongada desde outubro 2021 ocasionou exaurimento das reservas de água no município causando a falta de
água potável para o consumo humano. Conforme Laudo da Assistência Social, toda a população do município, (4.177), estão sofrendo os efeitos da Estiagem.",0,0,0,0,0,0,4177,4177,4177,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00","Com a falta de chuva desde outubro de 2021 até a presente data fez com que ocorresse forte estiagem no interior do município, em virtude
do exaurimento hídrico nas fontes, vertente e reservatórios, ocasionando o desabastecimento de água para parte da população.",,,,MAIS DE 20% DA POPULAÇÃO AFETADA,,"A estiagem que assola o município desde outubro de 2021 que ocasionou a estiagem no município fez com que fosse
necessário realizar a, despesas com pessoal, aquisição de água potável, aquisição de equipamentos para distribuição de água.","0,00","67363,07","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","67363,07","A estiagem que assola o interior do município desde outubro de 2021 afetou a maioria das culturas em seus diversos estágio de
desenvolvimento, ocasionando uma perda estimada de 20 a 25%, distribuída pelas culturas conforme laudo da Emater em anexo e perdas
na pecuária de aproximadamente 15%, devido as pastagens não terem crescimento satisfatório.","3170582,59","28915368,08","0,00","0,00","0,00","32085950,67","32153313,74"
RS-F-4306007-13215-20201213,Crissiumal,RS,Sul,14/12/2020,14/12/2020,13215,"12,00",Vendavais e Ciclones,Meteorológico,4306007,"430600705000002, 430600705000001, 430600705000005, 430600705000004, 430600705000003, 430600705000010, 430600705000007, 430600705000006, 430600705000009, 430600705000022, 430600705000027, 430600705000028, 430600705000018, 430600710000005, 430600710000006",Registro,,0,0,0,0,0,0,0,0,0,,0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00",0,0,"0,00","0,00",,,,,,,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
